,OrganisationCode,OrganisationName,Address1,Address2,Address3,City,County,Postcode,Latitude,Longitude
50,E84681,SAVITA MEDICAL CENTRE,"48, HARROW VIEW",HARROW,MIDDLESEX,HARROW,Middlesex,HA1 1RQ,51.5865478515625,-0.3428172171115875
167,E84002,Forty Willows Surgery,46 Forty Lane,,,Wembley,Middlesex,HA9 9HA,51.56578826904297,-0.2706656455993652
180,E84075,Mollison Way Surgery,45c & 46 South Parade,,,Edgware,Middlesex,HA8 5QL,51.597652435302734,-0.278551697731018
225,E84051,Stanley Corner Medical Centre,1-3 Stanley Avenue,,,Wembley,Middlesex,HA0 4JF,51.54425048828125,-0.296604573726654
287,Y01090,Sms Medical Practice,Wembley Centre for Health and Care,1st floor,116 Chaplin Road,Wembley,Middlesex,HA0 4UZ,51.549713134765625,-0.306770920753479
661,E84684,Tudor House Medical Centre,1 Chalkhill Road,Wembley,,London,Middlesex,HA9 9DS,51.56449508666992,-0.2666747570037841
923,E84007,Uxendon Crescent Surgery,1 Uxendon Crescent,,Middlesex,Wembley,Middlesex,HA9 9TW,51.57206344604492,-0.2927945554256439
986,E84024,The Pinn Medical Centre,37 Love Lane,,,Pinner,Middlesex,HA5 3EE,51.595073699951165,-0.3822390735149383
1059,E84044,The Northwick Surgery,36 Northwick Park Road,,,Harrow,Middlesex,HA1 2NU,51.58100128173828,-0.3264641761779785
1274,E84068,THE RIDGEWAY SURGERY,"71,",Imperial Drive,North Harrow,Middlesex,,HA2 7DU,51.58100509643555,-0.3650870323181152
1284,E84063,Lancelot Medical Centre,"19, Lancelot Road",Wembley,,London,,HA0 2AL,51.55286407470703,-0.2994851171970367
1354,E86011,Oxford Drive Medical Centre,1 Oxford Drive,,,Ruislip,Middlesex,HA4 9EY,51.56774139404297,-0.3929921388626098
1373,E83668,Dr SIRISENA & PARTNERS,156 DEANS LANE,,,EDGWARE,Middlesex,HA8 9NT,51.61611557006836,-0.2602888941764831
1443,E83030,PENSHURST GARDENS SURGERY,39 Penshurst Gardens,,,Edgware,Middlesex,HA8 9TN,51.61613082885742,-0.2727971971035003
1569,E84020,The Stag Holyrood Surgery,82 Staglane,,,Edgware,Middlesex,HA8 5LP,51.5981674194336,-0.2707064747810363
1636,E83032,Oak Lodge Medical Centre,234 Burnt Oak Broadway,Edgware,,,,HA8 0AP,51.603679656982415,-0.2706848084926605
1723,E84647,Kenton Clinic,533a Kenton Road,Kenton,Harrow,Middlesex ,,HA3 0UQ,51.585968017578125,-0.2924033105373382
1734,E84018,STREATFIELD HEALTH CENTRE,1 Streatfield Road,,,Harrow,Middlesex,HA3 9BP,51.59381103515625,-0.3081056475639343
1753,E84638,Alperton Medical Centre,"32, Stanley Avenue",,,Wembley,Middlesex,HA0 4JB,51.542877197265625,-0.2942043244838714
1764,E84003,Premier Medical Centre,Wembley Centre for Health & Care,116 Chaplin Road,,Wembley,Middlesex,HA0 4UZ,51.549713134765625,-0.306770920753479
1831,E83053,Lane End Medical Group,2 Penshurst Gardens,,,Edgware,Middlesex,HA8 9GJ,51.61528778076172,-0.2748513519763946
1858,E86012,Wood Lane Medical Centre,Wood Lane Medical Centre,2A Wood Lane,,Ruislip,Middlesex,HA4 6ER,51.57121658325195,-0.4251493215560913
1965,E84058,GP Direct,3-7 Welbeck Road,,,Harrow,Middlesex,HA2 0RQ,51.57526016235352,-0.3587846457958221
