,clinic,date,rating,title,comment,comment_wo_stopwords
0,Forty Willows Surgery,2022-10-04,5.0,"Amazing practice 
    ",this doctor's is very good. please be polite to everyone because they are doing a stressful job and they try their best to help you. this doctor's has got everything rite . reception are the really good hopefully and polite they really are good. now the doctor's they really are the best . from reception to social prescriber nurses and doctor's you are all doing a amazing job and i thank you all . stay safe and look after yourself thanks again mark lidbetter ,doctors good please polite everyone stressful job try best help you doctors got everything rite  reception really good hopefully polite really good doctors really best  reception social prescriber nurses doctors amazing job thank  stay safe look thanks mark lidbetter
1,Forty Willows Surgery,2022-05-09,5.0,"Exceptional staff and doctors
    ","i wanted to post this feedback about my visits to the surgery in the past month and the staff has been absolutely amazing with the attention and care they have provided me. i see new faces and miss old faces. 

i've been served timely appointments, courteous manner over the phone when i've called, helpful and caring with my repeat prescriptions and most important your staff actually mention to me if there is anything else they can do to help me!!  

i visited today for my blood test and your staff wished me a happy birthday! receptionists and nurses and even a lovely patient who overheard the staff wishing me happy birthday! 

surgery receptionists have been exceptionally brilliant and have booked appointments to see the doctor, and blood test appointments, and today one receptionist didn't allow me to leave without seeing the hca for my blood pressure because she checked the system and saw it was long overdue - i find this to be exceptionally brilliant patient care. 

well done to forty willows team! ",wanted post feedback visits surgery past month staff absolutely amazing attention care provided me see new faces miss old faces ive served timely appointments courteous manner phone ive called helpful caring repeat prescriptions important staff actually mention anything else help me visited today blood test staff wished happy birthday receptionists nurses even lovely patient overheard staff wishing happy birthday surgery receptionists exceptionally brilliant booked appointments see doctor blood test appointments today one receptionist allow leave without seeing hca blood pressure checked system saw long overdue  find exceptionally brilliant patient care well done forty willows team
2,Forty Willows Surgery,2021-12-07,5.0,"Understanding Of Menopause 
    ","used the e consult form to begin with and was offered a face to face appointment. brilliant all round understanding of the condition, listened to me & offered help.  asked to record my consultation for training purposes which i was really happy with as i am all for education.  followed up my face to face appointment with a phone call. doctor and receptionist i dealt with really restored my faith in the practice that had been waning. i would say to anyone on the subject of menopause, do your homework and forty willows practice will help you through the process. would now highly recommend ",used e consult form begin offered face face appointment brilliant round understanding condition listened  offered help asked record consultation training purposes really happy education followed face face appointment phone call doctor receptionist dealt really restored faith practice waning would say anyone subject menopause homework forty willows practice help process would highly recommend
3,Forty Willows Surgery,2021-06-24,1.0,"I cannot believe the surgery doors are opened 
    ","avoid this surgery , just like the above and below reviews. 
 i called just like the receptionist tell you 
at 8am and 2pm there is never appointments 
i cannot believe when i rang and said i want to book as i have been trying to get an appointment for the last week and no success so i explained and said can i have a one in the one week or the next slot 
response was i have also nothing prebookable 
doctors appointments can be only booked 2 weeks in advance. 
the week or to before i got sent a text message saying please contact the surgery reception to discuss a test result i rang and they said they have nothing to book 
at this point can you even blame me for being frustrated and angry 
why is the staff allowed to send sms or call patients if there is no where to book them , what surgery honestly work this way i do not understand , over the years the surgery has gone worst i'm not sure due to the new partners or the management , you ask for a manager and she never takes a call , i actually feel for the receptionist that they seem to have no support from the management . i decided to turn up at the surgery to a patient before me kicking of a major fuss for the same thing as me and i was absolutely disgusted that a surgery can operate this way , i witnessed on how the receptionist felt and no care of management to even avoid this sort of behaviour . despite on how angry i was i was absolutely respectful towards the staff at reception as i feel they can only do what they instructed to do  . how on earth is this patient care ? 
i’m currently looking for another surgery 
bad experience 


  

",avoid surgery  like reviews called like receptionist tell 8am 2pm never appointments cannot believe rang said want book trying get appointment last week success explained said one one week next slot response also nothing prebookable doctors appointments booked 2 weeks advance week got sent text message saying please contact surgery reception discuss test result rang said nothing book point even blame frustrated angry staff allowed send sms call patients book  surgery honestly work way understand  years surgery gone worst im sure due new partners management  ask manager never takes call  actually feel receptionist seem support management  decided turn surgery patient kicking major fuss thing absolutely disgusted surgery operate way  witnessed receptionist felt care management even avoid sort behaviour  despite angry absolutely respectful towards staff reception feel instructed  earth patient care  i’m currently looking another surgery bad experience
4,Forty Willows Surgery,2021-06-21,1.0,"Avoid this surgery 
    ","i do not understand why this surgery doors are still opened 
they do not have the capability to look after all these patient’s 
there are never appointments , the receptionist staff ms chandni is brilliant she seems to sort all these problems that the rest of the staff do the rest do not understand the basics of what you tell them , i believe she is very well to good for this surgery 
you call at 8am they never have appointment you try at 2pm you have the same excuses 
you can never get an appointment with dr paul nor dr prasad 
the surgery reputation has gone downhill after these 5 years 
i do not seem to understand why the doors remain open 
you ask to speak to the manager you hear repeatedly she is in a meeting 
im in the process of changing my gp surgery 

",understand surgery doors still opened capability look patient’s never appointments  receptionist staff ms chandni brilliant seems sort problems rest staff rest understand basics tell  believe well good surgery call 8am never appointment try 2pm excuses never get appointment dr paul dr prasad surgery reputation gone downhill 5 years seem understand doors remain open ask speak manager hear repeatedly meeting im process changing gp surgery
5,Forty Willows Surgery,2021-06-26,5.0,"Caring Sensitive Doctor
    ","
the helpful lady doctor who took the trouble to phone me earlier today was really reassuring and helpful,  she took the time to listen to me. i really did appreciate this, and feel so much better now.",helpful lady doctor took trouble phone earlier today really reassuring helpful took time listen me really appreciate this feel much better now
6,Forty Willows Surgery,2021-05-18,5.0,"It does not get any better
    ","i have registered recently. everything went smoothly from the registration until sorting out my covid vaccination. things were efficient and i was informed all throughout, including signup to online services - which is a great convenience in these pandemic times. staff have been very friendly and did their best helping despite the very difficult circumstances they have faced this last year. the only way my needs could be better served is if they invited me for coffee in the mornings but i don't think that's an option for a while now. i would love to join the ppg once it is back again.",registered recently everything went smoothly registration sorting covid vaccination things efficient informed throughout including signup online services  great convenience pandemic times staff friendly best helping despite difficult circumstances faced last year way needs could better served invited coffee mornings think thats option now would love join ppg back again
7,Forty Willows Surgery,2021-02-19,1.0,"Extremaly unprofessional
    ","avoid this gp at all cost’s !!! they are extremely unprofessional and neglect their patients.
they can’t follows the simplest instructions when laid out for them in black and white.
i have been in this country for 5 years and when i arrived i spoke no english, my english is now better than this doctor who is supposed to be looking after us as patients.
i have been ringing them every day to get a fit to fly letter of which i had specifically said what it needs to say, and they charged me for this service when this was only mentioned after the 3rd attempt.
i still to this day have not have not received the correct paper work.",avoid gp cost’s  extremely unprofessional neglect patients can’t follows simplest instructions laid black white country 5 years arrived spoke english english better doctor supposed looking us patients ringing every day get fit fly letter specifically said needs say charged service mentioned 3rd attempt still day received correct paper work
8,Forty Willows Surgery,2021-02-23,4.0,"Good receptionist 
    ","i have had a wonderful experience at this gp surgery because of the receptionist. she has made it very easy to communicate on phone calls as well as getting appointments when doctors are available. the receptionist is helpful and kind, as well as being considerate. ",wonderful experience gp surgery receptionist made easy communicate phone calls well getting appointments doctors available receptionist helpful kind well considerate
9,Forty Willows Surgery,2021-02-17,1.0,"Terrible communication
    ",booked an e consult online but missed the phone call. gp had left a voicemail saying to phone the surgery and book it in again. spent over an hour waiting to be put through only for a the rude receptionist to say she’s not able to book anything i should phone back at half 8 in the morning. i relayed to her the message the gp had left on my phone to which she responded are you going to let me talk or not. i thought she was very rude and unprofessional. currently looking for a new gp! ,booked e consult online missed phone call gp left voicemail saying phone surgery book again spent hour waiting put rude receptionist say she’s able book anything phone back half 8 morning relayed message gp left phone responded going let talk not thought rude unprofessional currently looking new gp
